Unnamed: 0,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Year
60031,15,3,10,2052 LAUWILIWILI ST,Hawaii,Honolulu,Not in a city,2014-10-29,Parts per billion,2.2625,5.5,7,5,Parts per million,0.027125,0.031,0,29,Parts per billion,1.4625,1.6,2,,Parts per million,0.445833,0.5,8,,2014
51698,22,33,9,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,2005-06-29,Parts per billion,9.681818,15.0,4,14,Parts per million,0.024875,0.036,9,31,Parts per billion,1.625,3.0,0,4.0,Parts per million,0.7125,0.8,5,,2005
31578,6,75,6,"100 WHITNEY YOUNG CIRCLE, SAN FRANCISCO",California,San Francisco,San Francisco,2005-03-20,Parts per billion,2.434783,6.0,19,6,Parts per million,0.039667,0.044,0,37,Parts per billion,0.0,0.0,2,,Parts per million,0.0,0.0,0,,2005
3225,4,19,1028,400 W RIVER ROAD,Arizona,Pima,Tucson,2013-06-08,Parts per billion,5.95,10.8,2,9,Parts per million,0.036708,0.049,10,42,Parts per billion,0.675,6.6,8,9.0,Parts per million,0.1,0.1,0,1.0,2013
52664,13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2015-10-07,Parts per billion,8.029167,26.1,20,25,Parts per million,0.022667,0.055,10,51,Parts per billion,0.35,0.7,8,,Parts per million,0.593958,1.106,7,,2015
28512,6,67,6,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,2015-04-29,Parts per billion,4.772727,13.0,22,12,Parts per million,0.031875,0.052,12,48,Parts per billion,1.616667,2.7,2,,Parts per million,0.182136,0.291,22,,2015
121321,48,309,1037,4472 Mazanec Rd,Texas,McLennan,Waco,2011-01-27,Parts per billion,11.158333,32.3,19,30,Parts per million,0.025708,0.043,10,36,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.133333,0.2,0,2.0,2011
30042,6,65,8001,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,2013-04-16,Parts per billion,6.861905,22.6,23,21,Parts per million,0.036167,0.052,10,48,Parts per billion,0.085714,0.2,23,,Parts per million,0.186435,0.29,23,,2013
28222,6,73,2007,"1100 PASEO INTERNATIONAL, OTAY MESA, CA",California,San Diego,San Diego,2003-05-24,Parts per billion,14.434783,30.0,11,28,Parts per million,0.036708,0.04,9,34,Parts per billion,2.557143,3.0,8,,Parts per million,0.83913,1.2,8,,2003
66054,36,103,9,57 DIVISION STREET,New York,Suffolk,Holtsville,2000-04-15,Parts per billion,28.458333,42.0,6,40,Parts per million,0.012417,0.019,11,16,Parts per billion,4.416667,10.0,5,14.0,Parts per million,0.25,0.6,6,,2000
